date,quarter,ticker,company_name,close,ma_25,ma_50,rsi,high_52w,low_52w,per,pbr,q_score,q1,q3,v_score,v1,v2,v3,t_score,qvt_score,timing_label,signal_text,roe,roa,equity_ratio,operating_margin,de_ratio,interest_coverage,ev_ebitda,industry,sector
2024-03-07,2024-Q1,3628.T,"Data Horizon Co.,Ltd.",819.0,845.0,852.0,61.4,3035.0,762.0,-3.2,34.65,7.5,15.0,0.0,27.5,0.0,50.0,50.0,72.2,35.7,そこそこ押し目,押し目シグナルなし,-,-,-,10.58,16.43,-,-90.49,Health Information Services,Healthcare
2024-03-07,2024-Q1,3645.T,"Medical Net, Inc.",388.0,391.0,385.0,48.3,433.0,309.0,93.1,1.84,26.0,30.0,22.0,40.2,18.2,65.0,50.0,45.3,37.2,押し目シグナルなし〜様子見,押し目シグナルなし,3.59,2.03,-,3.9,0.66,-,9.9,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3646.T,"Ekitan & Co., Ltd.",356.0,336.0,320.0,77.9,459.0,289.0,-123.1,1.14,2.5,5.0,30.0,31.9,36.4,10.0,50.0,42.5,25.6,押し目シグナルなし〜様子見,高値圏（要注意！）,-3.76,0.17,-,-0.27,0.15,-,59.65,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3652.T,Digital Media Professionals Inc.,3290.0,3045.0,2873.0,52.6,4385.0,2107.0,-37.2,3.23,0.0,0.0,0.0,27.5,0.0,50.0,50.0,52.7,26.7,そこそこ押し目,押し目シグナルなし,-10.41,-4.05,-,-13.11,-,-,-19.43,Electronic Components,Technology
2024-03-07,2024-Q1,3653.T,"Morpho, Inc.",1790.0,1677.0,1611.0,70.1,1868.0,963.0,-120.8,2.89,0.0,0.0,0.0,31.6,9.1,50.0,50.0,16.4,16.0,高値圏（要注意）,高値圏（要注意！）,-9.73,-3.34,-,-82.49,-,-,-10.38,Software - Application,Technology
2024-03-07,2024-Q1,3664.T,Mobcast Holdings Inc.,54.0,54.0,55.0,57.9,102.0,49.0,-6.6,3.45,0.0,0.0,22.0,27.5,0.0,50.0,50.0,61.5,29.7,そこそこ押し目,押し目シグナルなし,-56.82,-7.45,-,-8.66,0.88,-,-10.68,Electronic Gaming & Multimedia,Communication Services
2024-03-07,2024-Q1,3674.T,"Aucfan Co., Ltd.",453.0,438.0,417.0,51.1,860.0,343.0,-14.4,1.19,0.0,0.0,30.0,43.9,36.4,50.0,50.0,65.8,36.6,そこそこ押し目,押し目シグナルなし,-9.89,-2.47,-,-4.11,0.33,-,-94.89,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3680.T,"Hottolink, Inc.",333.0,349.0,354.0,52.4,430.0,272.0,-5.2,1.29,0.0,0.0,30.0,35.7,18.2,50.0,50.0,53.2,29.6,そこそこ押し目,押し目シグナルなし,-36.15,-16.53,-,-156.54,0.24,-,-1.42,Software - Infrastructure,Technology
2024-03-07,2024-Q1,3691.T,"DIGITAL PLUS, Inc.",614.0,569.0,548.0,65.2,1064.0,451.0,-36.8,3.11,12.5,15.0,10.0,15.5,0.0,10.0,50.0,55.2,27.7,そこそこ押し目,押し目シグナルなし,-6.93,-0.86,-,7.53,1.51,-,266.37,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3692.T,"FFRI Security, Inc.",2116.0,1758.0,1565.0,70.6,2248.0,895.0,14.4,4.92,65.0,100.0,30.0,31.9,36.4,10.0,50.0,16.6,37.8,高値圏（要注意）,高値圏（要注意！）,43.67,21.16,-,33.52,0.0,-,30.46,Software - Application,Technology
2024-03-07,2024-Q1,3695.T,"GMO Product Platform, Inc.",2553.0,2531.0,2544.0,62.1,3017.0,2370.0,61.0,4.62,32.5,35.0,30.0,42.5,0.0,100.0,50.0,51.4,42.1,そこそこ押し目,押し目シグナルなし,7.05,3.42,-,2.42,0.26,-,4.89,Software - Infrastructure,Technology
2024-03-07,2024-Q1,3723.T,Nihon Falcom Corporation,1212.0,1208.0,1178.0,53.0,1397.0,1106.0,13.8,1.17,40.0,80.0,0.0,70.7,72.7,85.0,50.0,53.7,54.8,そこそこ押し目,押し目シグナルなし,12.7,11.36,-,73.11,-,-,5.71,Electronic Gaming & Multimedia,Communication Services
2024-03-07,2024-Q1,3727.T,Aplix Corporation,170.0,168.0,172.0,56.7,226.0,120.0,25.0,1.58,0.0,0.0,30.0,31.9,36.4,10.0,50.0,52.3,28.1,そこそこ押し目,押し目シグナルなし,-5.54,-1.1,-,-28.42,0.19,-,48.13,Software - Application,Technology
2024-03-07,2024-Q1,3773.T,"Advanced Media, Inc.",1655.0,1745.0,1787.0,46.0,2040.0,1262.0,18.3,1.92,50.0,70.0,30.0,67.0,54.5,100.0,50.0,62.2,59.7,そこそこ押し目,そこそこ押し目,13.27,5.52,-,24.16,0.05,-,4.84,Communication Equipment,Technology
2024-03-07,2024-Q1,3777.T,Environment Friendly Holdings Corp.,41.0,44.0,43.0,53.3,67.0,31.0,-117.1,3.35,30.0,30.0,30.0,15.5,0.0,10.0,50.0,76.9,40.8,そこそこ押し目,そこそこ押し目,-0.09,1.35,-,30.6,0.44,-,67.11,Software - Application,Technology
2024-03-07,2024-Q1,3793.T,"Drecom Co.,Ltd.",1128.0,1016.0,925.0,69.2,1217.0,457.0,-13.7,10.48,20.0,25.0,15.0,32.0,0.0,65.0,50.0,28.2,26.7,タイミング悪化（要注意）,押し目シグナルなし,-48.63,1.27,-,13.27,1.14,-,11.7,Electronic Gaming & Multimedia,Communication Services
2024-03-07,2024-Q1,3803.T,Image Information Inc.,432.0,425.0,424.0,66.2,698.0,388.0,-4.0,11.17,0.0,0.0,22.0,27.5,0.0,50.0,50.0,54.6,27.4,そこそこ押し目,押し目シグナルなし,-125.33,-16.73,-,-29.27,0.55,-,-7.19,Information Technology Services,Technology
2024-03-07,2024-Q1,3807.T,Fisco Ltd.,110.0,93.0,93.0,66.7,144.0,81.0,-7.4,4.62,0.0,0.0,30.0,27.5,0.0,50.0,50.0,36.6,21.4,押し目シグナルなし〜様子見,高値圏（要注意！）,-129.19,-2.89,-,-24.62,0.11,-,-32.09,Financial Data & Stock Exchanges,Financial Services
2024-03-07,2024-Q1,3815.T,"Media Kobo, Inc.",220.0,218.0,221.0,56.8,330.0,210.0,-4.4,3.59,0.0,0.0,10.0,27.5,0.0,50.0,50.0,72.6,33.4,そこそこ押し目,押し目シグナルなし,-69.9,-12.29,-,-36.3,1.74,-,-11.44,Internet Content & Information,Communication Services
2024-03-07,2024-Q1,3900.T,CrowdWorks Inc.,1674.0,1604.0,1417.0,46.6,1983.0,1150.0,-102.6,4.01,21.0,20.0,22.0,42.5,0.0,100.0,50.0,51.9,38.5,そこそこ押し目,押し目シグナルなし,-5.37,5.64,-,0.97,0.56,-,3.61,Staffing & Employment Services,Industrials
2024-03-07,2024-Q1,3904.T,KAYAC Inc.,717.0,752.0,735.0,32.3,1349.0,603.0,16.8,1.96,38.5,55.0,22.0,67.0,54.5,100.0,50.0,89.5,65.0,バーゲン（強い押し目）,軽い押し目,11.41,5.07,-,6.23,0.51,-,3.71,Electronic Gaming & Multimedia,Communication Services
2024-03-07,2024-Q1,3905.T,Datasection Inc.,884.0,733.0,597.0,63.3,1419.0,240.0,-9.3,1.61,22.5,15.0,30.0,35.7,18.2,50.0,50.0,45.2,34.5,押し目シグナルなし〜様子見,押し目シグナルなし,-8.74,-2.56,-,7.32,0.03,-,-161.58,Software - Application,Technology
